2016-09-12 12:35:17,464 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=49, disparity=22
2016-09-12 12:35:17,469 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=50, disparity=22
2016-09-12 12:35:17,476 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=51, disparity=22
2016-09-12 12:35:17,482 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=135, row=39, disparity=22
2016-09-12 12:35:17,604 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=116, row=69, disparity=22
2016-09-12 12:35:17,609 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=116, row=70, disparity=22
2016-09-12 12:35:17,613 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=116, row=75, disparity=22
2016-09-12 12:35:17,618 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=65, disparity=22
2016-09-12 12:35:17,625 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=66, disparity=22
2016-09-12 12:35:17,629 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=69, disparity=22
2016-09-12 12:35:17,634 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=70, disparity=22
2016-09-12 12:35:17,640 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=74, disparity=22
2016-09-12 12:35:17,649 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=75, disparity=22
2016-09-12 12:35:17,654 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=76, disparity=22
2016-09-12 12:35:17,661 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=59, disparity=22
2016-09-12 12:35:17,666 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=60, disparity=22
2016-09-12 12:35:17,671 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=61, disparity=22
2016-09-12 12:35:17,677 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=62, disparity=22
2016-09-12 12:35:17,681 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=63, disparity=22
2016-09-12 12:35:17,686 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=64, disparity=22
2016-09-12 12:35:17,693 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=65, disparity=22
2016-09-12 12:35:17,697 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=66, disparity=22
2016-09-12 12:35:17,702 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=69, disparity=23
2016-09-12 12:35:17,709 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=70, disparity=23
2016-09-12 12:35:17,715 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=74, disparity=23
2016-09-12 12:35:17,719 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=75, disparity=23
2016-09-12 12:35:17,726 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=76, disparity=22
2016-09-12 12:35:17,732 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=58, disparity=22
2016-09-12 12:35:17,736 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=59, disparity=22
2016-09-12 12:35:17,744 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=60, disparity=22
2016-09-12 12:35:17,749 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=61, disparity=22
2016-09-12 12:35:17,754 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=62, disparity=22
2016-09-12 12:35:17,760 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=63, disparity=22
2016-09-12 12:35:17,765 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=64, disparity=22
2016-09-12 12:35:17,769 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=65, disparity=22
2016-09-12 12:35:17,776 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=75, disparity=23
2016-09-12 12:35:17,781 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=53, disparity=22
2016-09-12 12:35:17,785 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=52, disparity=22
2016-09-12 12:35:17,792 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=53, disparity=22
2016-09-12 12:35:17,798 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=134, row=40, disparity=22
2016-09-12 12:35:17,802 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=134, row=41, disparity=22
2016-09-12 12:35:17,810 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=135, row=40, disparity=22
2016-09-12 12:35:17,933 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=116, row=69, disparity=22
2016-09-12 12:35:17,938 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=116, row=70, disparity=22
2016-09-12 12:35:17,943 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=116, row=75, disparity=22
2016-09-12 12:35:17,948 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=65, disparity=22
2016-09-12 12:35:17,952 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=66, disparity=22
2016-09-12 12:35:17,959 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=69, disparity=22
2016-09-12 12:35:17,964 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=70, disparity=22
2016-09-12 12:35:17,968 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=74, disparity=22
2016-09-12 12:35:17,975 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=75, disparity=22
2016-09-12 12:35:17,981 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=117, row=76, disparity=22
2016-09-12 12:35:17,985 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=59, disparity=22
2016-09-12 12:35:17,992 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=60, disparity=22
2016-09-12 12:35:17,997 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=61, disparity=22
2016-09-12 12:35:18,002 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=62, disparity=22
2016-09-12 12:35:18,008 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=63, disparity=22
2016-09-12 12:35:18,014 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=64, disparity=22
2016-09-12 12:35:18,019 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=65, disparity=22
2016-09-12 12:35:18,025 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=66, disparity=22
2016-09-12 12:35:18,031 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=69, disparity=23
2016-09-12 12:35:18,035 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=70, disparity=23
2016-09-12 12:35:18,042 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=74, disparity=23
